"ATM","AccountID","Location","TransAmt","TransDate","TransNo"
"16","","Oak Street",6610.59,"2001/06/03","312337"
"19","820025","Linden Avenue",400.00,"2001/06/03","312338"
"19","231494","Linden Avenue",7217.30,"2001/06/03","312339"
"27","359310","Robson Street",470.00,"2001/06/03","312340"
"27","","Robson Street",1130.22,"2001/06/03","312341"
"19","","Linden Avenue",894.72,"2001/06/03","312342"
"27","297397","Robson Street",1567.95,"2001/06/03","312343"
"21","","Congress Street",1664.12,"2001/06/03","312344"
"22","463451","Eighth Avenue",260.00,"2001/06/03","312345"
"19","811002","Linden Avenue",70.00,"2001/06/03","312346"
"19","113236","Linden Avenue",70.00,"2001/06/03","312347"
"27","","Robson Street",3728.81,"2001/06/03","312348"
"19","795401","Linden Avenue",6715.14,"2001/06/03","312349"
"23","113236","Magnolia Way",90.00,"2001/06/03","312350"
"19","269267","Linden Avenue",4998.45,"2001/06/03","312351"
"19","501657","Linden Avenue",70.00,"2001/06/03","312352"
"27","113236","Robson Street",9142.49,"2001/06/03","312353"
"27","329169","Robson Street",1494.56,"2001/06/03","312354"
"28","","Lamar Boulevard",3609.72,"2001/06/03","312355"
"27","","Robson Street",250.00,"2001/06/03","312356"
"21","815062","Congress Street",3095.84,"2001/06/03","312357"
"23","284354","Magnolia Way",160.00,"2001/06/03","312358"
"23","","Magnolia Way",370.00,"2001/06/03","312359"
"19","176437","Linden Avenue",160.00,"2001/06/03","312360"
"28","739622","Lamar Boulevard",3686.66,"2001/06/03","312361"
"22","222006","Eighth Avenue",3776.73,"2001/06/03","312362"
"22","","Eighth Avenue",290.00,"2001/06/03","312363"
"16","284354","Oak Street",4162.05,"2001/06/03","312364"
"27","","Robson Street",8171.94,"2001/06/03","312365"
"27","","Robson Street",3104.33,"2001/06/03","312366"
"23","","Magnolia Way",9671.75,"2001/06/03","312367"
"21","176437","Congress Street",159999.00,"2001/06/03","312368"
"27","97627","Robson Street",480.00,"2001/06/03","312369"
"22","","Eighth Avenue",500.00,"2001/06/03","312370"
"27","","Robson Street",240.00,"2001/06/03","312371"
"22","","Eighth Avenue",3989.05,"2001/06/03","312372"
"21","512328","Congress Street",8191.12,"2001/06/03","312373"
"27","739622","Robson Street",8951.96,"2001/06/03","312374"
"21","35189","Congress Street",180.00,"2001/06/03","312375"
"22","797352","Eighth Avenue",450.00,"2001/06/03","312376"
"23","","Magnolia Way",110.00,"2001/06/03","312377"
"22","","Eighth Avenue",60.00,"2001/06/03","312378"
"22","284354","Eighth Avenue",470.00,"2001/06/03","312379"
"23","35189","Magnolia Way",20.00,"2001/06/03","312380"
"27","878035","Robson Street",9562.92,"2001/06/03","312381"
"27","","Robson Street",80.00,"2001/06/03","312382"
"23","562270","Magnolia Way",160.00,"2001/06/03","312383"
"23","35189","Magnolia Way",2575.45,"2001/06/03","312384"
"22","869033","Eighth Avenue",180.00,"2001/06/03","312385"
"23","65003","Magnolia Way",4581.51,"2001/06/03","312386"
"27","","Robson Street",6214.58,"2001/06/03","312387"
"21","359310","Congress Street",100001.20,"2001/06/03","312388"
"19","914508","Linden Avenue",180.00,"2001/06/03","312389"
"19","","Linden Avenue",2379.62,"2001/06/03","312390"
"27","176437","Robson Street",3755.81,"2001/06/03","312391"
"27","","Robson Street",140.00,"2001/06/03","312392"
"27","","Robson Street",9344.32,"2001/06/03","312393"
"21","231494","Congress Street",1000000.00,"2001/06/03","312394"
"21","820025","Congress Street",2000000.00,"2001/06/03","312395"
"22","176437","Eighth Avenue",100.00,"2001/06/03","312396"
"27","250402","Robson Street",7231.27,"2001/06/03","312397"
"23","222006","Magnolia Way",360.00,"2001/06/03","312398"
"22","","Eighth Avenue",60.00,"2001/06/03","312399"
"27","795401","Robson Street",40.00,"2001/06/03","312400"
"19","641464","Linden Avenue",7904.07,"2001/06/03","312401"
"27","812465","Robson Street",360.00,"2001/06/03","312402"
"22","269267","Eighth Avenue",6651.08,"2001/06/03","312403"
"19","113236","Linden Avenue",6501.22,"2001/06/03","312404"
"19","795401","Linden Avenue",2147.01,"2001/06/03","312405"
"19","564291","Linden Avenue",320.00,"2001/06/03","312406"
"27","","Robson Street",390.00,"2001/06/03","312407"
"19","90398","Linden Avenue",3009.87,"2001/06/03","312408"
"21","","Congress Street",2831.97,"2001/06/03","312409"
"27","641464","Robson Street",3384.65,"2001/06/03","312410"
"27","","Robson Street",6520.41,"2001/06/03","312411"
"21","113236","Congress Street",1833.35,"2001/06/03","312412"
"16","641464","Oak Street",3612.30,"2001/06/03","312413"
"19","","Linden Avenue",8561.13,"2001/06/03","312414"
"23","65003","Magnolia Way",140.38,"2001/06/03","312415"
"19","250402","Linden Avenue",935.47,"2001/06/03","312416"
"27","","Robson Street",140.00,"2001/06/03","312417"
"23","512328","Magnolia Way",310.00,"2001/06/03","312418"
"16","","Oak Street",440.00,"2001/06/03","312419"
"19","","Linden Avenue",160.00,"2001/06/03","312420"
"27","562270","Robson Street",9623.91,"2001/06/03","312421"
"27","","Robson Street",80.00,"2001/06/03","312422"
"21","250402","Congress Street",170.00,"2001/06/03","312423"
"21","836004","Congress Street",390.00,"2001/06/03","312424"
"21","97627","Congress Street",330.00,"2001/06/03","312425"
"27","90398","Robson Street",490.00,"2001/06/03","312426"
"23","869033","Magnolia Way",5104.32,"2001/06/03","312427"
"21","231494","Congress Street",10.00,"2001/06/03","312428"
"27","269267","Robson Street",4802.95,"2001/06/03","312429"
"22","820025","Eighth Avenue",210.00,"2001/06/03","312430"
"22","994403","Eighth Avenue",500.00,"2001/06/03","312431"
"27","297397","Robson Street",130.00,"2001/06/03","312432"
"22","562270","Eighth Avenue",40.00,"2001/06/03","312433"
"27","","Robson Street",260.00,"2001/06/03","312434"
"21","869033","Congress Street",3604.41,"2001/06/03","312435"
"23","176437","Magnolia Way",130.00,"2001/06/03","312436"
"23","878035","Magnolia Way",130.00,"2001/06/03","312437"
"27","269267","Robson Street",60.00,"2001/06/03","312438"
"22","519311","Eighth Avenue",60.00,"2001/06/03","312439"
"27","250402","Robson Street",400.00,"2001/06/03","312440"
"28","878035","Lamar Boulevard",20.00,"2001/06/03","312441"
"19","869033","Linden Avenue",190.00,"2001/06/03","312442"
"19","90398","Linden Avenue",803.00,"2001/06/03","312443"
"23","250402","Magnolia Way",240.00,"2001/06/03","312444"
"27","564291","Robson Street",150.00,"2001/06/03","312445"
"27","","Robson Street",490.00,"2001/06/03","312446"
"21","","Congress Street",470.00,"2001/06/03","312447"
"19","301037","Linden Avenue",1241.82,"2001/06/03","312448"
"16","","Oak Street",160.00,"2001/06/03","312449"
"27","222006","Robson Street",190.00,"2001/06/03","312450"
"21","56016","Congress Street",2901.96,"2001/06/03","312451"
"21","811002","Congress Street",8001.71,"2001/06/03","312452"
"23","297397","Magnolia Way",9726.44,"2001/06/03","312453"
"16","113236","Oak Street",300.00,"2001/06/03","312454"
"22","","Eighth Avenue",70.00,"2001/06/03","312455"
"22","","Eighth Avenue",50.00,"2001/06/03","312456"
"19","811002","Linden Avenue",370.00,"2001/06/03","312457"
"27","297397","Robson Street",300.00,"2001/06/03","312458"
"27","","Robson Street",5867.71,"2001/06/03","312459"
"22","914508","Eighth Avenue",300.00,"2001/06/03","312460"
"27","878035","Robson Street",180.00,"2001/06/03","312461"
"16","463451","Oak Street",3053.36,"2001/06/03","312462"
"23","359310","Magnolia Way",1888.35,"2001/06/03","312463"
"23","65003","Magnolia Way",110.00,"2001/06/03","312464"
"23","","Magnolia Way",9008.87,"2001/06/03","312465"
"27","","Robson Street",60.00,"2001/06/03","312466"
"22","739622","Eighth Avenue",20.00,"2001/06/03","312467"
"22","559491","Eighth Avenue",310.00,"2001/06/03","312468"
"28","","Lamar Boulevard",140.00,"2001/06/03","312469"
"19","938010","Linden Avenue",340.00,"2001/06/03","312470"
"16","812465","Oak Street",4109.66,"2001/06/03","312471"
"27","97627","Robson Street",8085.52,"2001/06/03","312472"
"22","","Eighth Avenue",4461.10,"2001/06/03","312473"
"23","113236","Magnolia Way",120.00,"2001/06/03","312474"
"22","56016","Eighth Avenue",6527.64,"2001/06/03","312475"
"22","869033","Eighth Avenue",40.00,"2001/06/03","312476"
"27","65003","Robson Street",8872.79,"2001/06/03","312477"
"23","","Magnolia Way",420.00,"2001/06/03","312478"
"23","519311","Magnolia Way",90.00,"2001/06/03","312479"
"27","562270","Robson Street",4999.28,"2001/06/03","312480"
"27","","Robson Street",200.00,"2001/06/03","312481"
"28","","Lamar Boulevard",3011.80,"2001/06/03","312482"
"19","65003","Linden Avenue",7699.95,"2001/06/03","312483"
"22","230575","Eighth Avenue",1985.36,"2001/06/03","312484"
"16","301037","Oak Street",80.00,"2001/06/03","312485"
"23","869033","Magnolia Way",9346.15,"2001/06/03","312486"
"27","562270","Robson Street",2724.25,"2001/06/03","312487"
"27","","Robson Street",300.00,"2001/06/03","312488"
"21","113236","Congress Street",110.00,"2001/06/03","312489"
"27","641464","Robson Street",9302.49,"2001/06/03","312490"
"19","812465","Linden Avenue",4181.21,"2001/06/03","312491"
"22","559491","Eighth Avenue",5250.49,"2001/06/03","312492"
"23","512328","Magnolia Way",5552.22,"2001/06/03","312493"
"28","231494","Lamar Boulevard",50.00,"2001/06/03","312494"
"22","269267","Eighth Avenue",430.00,"2001/06/03","312495"
"27","","Robson Street",6231.70,"2001/06/03","312496"
"22","564291","Eighth Avenue",410.00,"2001/06/03","312497"
"27","","Robson Street",1761.30,"2001/06/03","312498"
"16","795401","Oak Street",6494.62,"2001/06/03","312499"
"21","230575","Congress Street",310.00,"2001/06/03","312500"
"21","264629","Congress Street",1449.59,"2001/06/03","312501"
"16","559491","Oak Street",460.00,"2001/06/03","312502"
"23","","Magnolia Way",920.07,"2001/06/03","312503"
"22","","Eighth Avenue",270.00,"2001/06/03","312504"
"16","222006","Oak Street",7871.34,"2001/06/03","312505"
"19","","Linden Avenue",180.00,"2001/06/03","312506"
"27","","Robson Street",80.00,"2001/06/03","312507"
"19","329169","Linden Avenue",480.00,"2001/06/03","312508"
"19","176437","Linden Avenue",170.00,"2001/06/03","312509"
"19","231494","Linden Avenue",260.00,"2001/06/03","312510"
"22","914508","Eighth Avenue",290.00,"2001/06/03","312511"
"27","81559","Robson Street",360.00,"2001/06/03","312512"
"22","","Eighth Avenue",1035.70,"2001/06/03","312513"
"23","284354","Magnolia Way",6219.85,"2001/06/03","312514"
"22","","Eighth Avenue",110.00,"2001/06/03","312515"
"27","81559","Robson Street",40.00,"2001/06/03","312516"
"27","65003","Robson Street",110.00,"2001/06/03","312517"
"21","","Congress Street",390.00,"2001/06/03","312518"
"22","","Eighth Avenue",871.97,"2001/06/03","312519"
"23","65003","Magnolia Way",60.00,"2001/06/03","312520"
"21","231494","Congress Street",139.32,"2001/06/03","312521"
"22","","Eighth Avenue",170.00,"2001/06/03","312522"
"27","519311","Robson Street",5325.22,"2001/06/03","312523"
"23","301037","Magnolia Way",2329.66,"2001/06/03","312524"
"27","90398","Robson Street",70.00,"2001/06/03","312525"
"22","297397","Eighth Avenue",80.00,"2001/06/03","312526"
"27","815062","Robson Street",410.00,"2001/06/03","312527"
"16","","Oak Street",6281.28,"2001/06/03","312528"
"22","641464","Eighth Avenue",430.00,"2001/06/03","312529"
"16","815062","Oak Street",60.00,"2001/06/03","312530"
"27","512328","Robson Street",280.00,"2001/06/03","312531"
"27","463451","Robson Street",2168.78,"2001/06/03","312532"
"22","","Eighth Avenue",420.00,"2001/06/03","312533"
"27","812465","Robson Street",9379.04,"2001/06/03","312534"
"19","90398","Linden Avenue",260.00,"2001/06/03","312535"
"22","562270","Eighth Avenue",30.00,"2001/06/03","312536"
"27","","Robson Street",210.00,"2001/06/03","312537"
"27","519311","Robson Street",3113.92,"2001/06/03","312538"
"28","812465","Lamar Boulevard",6963.24,"2001/06/03","312539"
"23","113236","Magnolia Way",4248.77,"2001/06/03","312540"
"22","65003","Eighth Avenue",150.00,"2001/06/03","312541"
"19","869033","Linden Avenue",440.00,"2001/06/03","312542"
"21","35189","Congress Street",60.00,"2001/06/03","312543"
"16","","Oak Street",380.00,"2001/06/03","312544"
"28","35189","Lamar Boulevard",400.00,"2001/06/03","312545"
"23","","Magnolia Way",4281.94,"2001/06/03","312546"
"27","","Robson Street",150.00,"2001/06/03","312547"
"27","65003","Robson Street",230.00,"2001/06/03","312548"
"22","","Eighth Avenue",310.00,"2001/06/03","312549"
"22","","Eighth Avenue",8166.71,"2001/06/03","312550"
"28","","Lamar Boulevard",2528.13,"2001/06/03","312551"
"19","","Linden Avenue",90.00,"2001/06/03","312552"
"16","65003","Oak Street",310.00,"2001/06/03","312553"
"27","836004","Robson Street",220.00,"2001/06/03","312554"
"27","","Robson Street",4070.52,"2001/06/03","312555"
"22","","Eighth Avenue",7779.54,"2001/06/03","312556"
"23","","Magnolia Way",522.93,"2001/06/03","312557"
"27","297397","Robson Street",420.00,"2001/06/03","312558"
"27","297397","Robson Street",7644.08,"2001/06/03","312559"
"23","795401","Magnolia Way",430.00,"2001/06/03","312560"
"27","329169","Robson Street",150.00,"2001/06/03","312561"
"19","56016","Linden Avenue",4991.07,"2001/06/03","312562"
"27","264629","Robson Street",4342.74,"2001/06/03","312563"
"23","836004","Magnolia Way",140.00,"2001/06/03","312564"
"27","914508","Robson Street",260.00,"2001/06/03","312565"
"19","641464","Linden Avenue",420.00,"2001/06/03","312566"
"27","811002","Robson Street",220.00,"2001/06/03","312567"
"27","504356","Robson Street",7903.25,"2001/06/03","312568"
"23","230575","Magnolia Way",490.00,"2001/06/03","312569"
"16","","Oak Street",60.00,"2001/06/03","312570"
"27","231494","Robson Street",60.00,"2001/06/03","312571"
"27","35189","Robson Street",400.00,"2001/06/03","312572"
"16","35189","Oak Street",130.00,"2001/06/03","312573"
"23","231494","Magnolia Way",8342.02,"2001/06/03","312574"
"27","519311","Robson Street",2212.15,"2001/06/03","312575"
"19","","Linden Avenue",470.00,"2001/06/03","312576"
"21","","Congress Street",3037.29,"2001/06/03","312577"
"22","222006","Eighth Avenue",280.00,"2001/06/03","312578"
"16","176437","Oak Street",3763.76,"2001/06/03","312579"
"16","113236","Oak Street",410.00,"2001/06/03","312580"
"27","815062","Robson Street",130.00,"2001/06/03","312581"
"27","","Robson Street",10.00,"2001/06/03","312582"
"19","815062","Linden Avenue",400.00,"2001/06/03","312583"
"23","","Magnolia Way",30.00,"2001/06/03","312584"
"22","562270","Eighth Avenue",4154.33,"2001/06/03","312585"
"27","202028","Robson Street",340.00,"2001/06/03","312586"
"27","","Robson Street",60.00,"2001/06/03","312587"
"28","512328","Lamar Boulevard",1461.69,"2001/06/03","312588"
"19","301037","Linden Avenue",380.00,"2001/06/03","312589"
"22","501657","Eighth Avenue",150.00,"2001/06/03","312590"
"27","869033","Robson Street",470.00,"2001/06/03","312591"
"27","797352","Robson Street",8226.57,"2001/06/03","312592"
"23","739622","Magnolia Way",210.00,"2001/06/03","312593"
"22","113236","Eighth Avenue",300.00,"2001/06/03","312594"
"27","519311","Robson Street",7450.86,"2001/06/03","312595"
"21","463451","Congress Street",70.00,"2001/06/03","312596"
"19","","Linden Avenue",250.00,"2001/06/03","312597"
"23","","Magnolia Way",160.00,"2001/06/03","312598"
"27","56016","Robson Street",240.00,"2001/06/03","312599"
"22","513574","Eighth Avenue",270.00,"2001/06/03","312600"
"23","81559","Magnolia Way",250.00,"2001/06/03","312601"
"19","562270","Linden Avenue",430.00,"2001/06/03","312602"
"27","504356","Robson Street",1001.16,"2001/06/03","312603"
"27","264629","Robson Street",1188.27,"2001/06/03","312604"
"21","35189","Congress Street",3385.46,"2001/06/03","312605"
"21","","Congress Street",6909.54,"2001/06/03","312606"
"27","501657","Robson Street",380.00,"2001/06/03","312607"
"27","795401","Robson Street",460.00,"2001/06/03","312608"
"27","202028","Robson Street",7909.31,"2001/06/03","312609"
"23","","Magnolia Way",4628.99,"2001/06/03","312610"
"27","222006","Robson Street",7314.35,"2001/06/03","312611"
"23","","Magnolia Way",180.00,"2001/06/03","312612"
"22","222006","Eighth Avenue",8222.76,"2001/06/03","312613"
"22","97627","Eighth Avenue",2126.77,"2001/06/03","312614"
"23","","Magnolia Way",3228.20,"2001/06/03","312615"
"22","815062","Eighth Avenue",410.00,"2001/06/03","312616"
"27","","Robson Street",290.00,"2001/06/03","312617"
"19","444413","Linden Avenue",370.00,"2001/06/03","312618"
"21","284354","Congress Street",220.00,"2001/06/03","312619"
"16","269267","Oak Street",6395.72,"2001/06/03","312620"
"19","641464","Linden Avenue",3142.08,"2001/06/03","312621"
"27","","Robson Street",778.87,"2001/06/03","312622"
"16","","Oak Street",8106.16,"2001/06/03","312623"
"27","519311","Robson Street",60.00,"2001/06/03","312624"
"19","222006","Linden Avenue",10.00,"2001/06/03","312625"
"21","914508","Congress Street",390.00,"2001/06/03","312626"
"16","","Oak Street",458.85,"2001/06/03","312627"
"22","359310","Eighth Avenue",310.00,"2001/06/03","312628"
"22","65003","Eighth Avenue",7119.12,"2001/06/03","312629"
"19","301037","Linden Avenue",430.00,"2001/06/03","312630"
"19","202028","Linden Avenue",490.00,"2001/06/03","312631"
"16","","Oak Street",70.00,"2001/06/03","312632"
"22","512328","Eighth Avenue",450.00,"2001/06/03","312633"
"27","297397","Robson Street",430.00,"2001/06/03","312634"
"28","81559","Lamar Boulevard",400.00,"2001/06/03","312635"
"16","269267","Oak Street",150.00,"2001/06/03","312636"
"22","562270","Eighth Avenue",86.08,"2001/06/03","312637"
"23","","Magnolia Way",330.00,"2001/06/03","312638"
"23","65003","Magnolia Way",290.00,"2001/06/03","312639"
"27","938010","Robson Street",350.00,"2001/06/03","312640"
"27","512328","Robson Street",5065.20,"2001/06/03","312641"
"27","869033","Robson Street",390.00,"2001/06/03","312642"
"27","","Robson Street",260.00,"2001/06/03","312643"
"22","","Eighth Avenue",430.00,"2001/06/03","312644"
"21","444413","Congress Street",70.00,"2001/06/03","312645"
"27","","Robson Street",300.00,"2001/06/03","312646"
"28","501657","Lamar Boulevard",4355.45,"2001/06/03","312647"
"16","","Oak Street",350.00,"2001/06/03","312648"
"23","","Magnolia Way",7405.48,"2001/06/03","312649"
"27","559491","Robson Street",1261.43,"2001/06/03","312650"
"27","","Robson Street",8657.50,"2001/06/03","312651"
"27","","Robson Street",8226.26,"2001/06/03","312652"
"16","97627","Oak Street",409.40,"2001/06/03","312653"
"23","938010","Magnolia Way",320.00,"2001/06/03","312654"
"23","","Magnolia Way",230.00,"2001/06/03","312655"
"19","564291","Linden Avenue",8657.85,"2001/06/03","312656"
"22","513574","Eighth Avenue",80.00,"2001/06/03","312657"
"22","519311","Eighth Avenue",170.00,"2001/06/03","312658"
"19","463451","Linden Avenue",6836.23,"2001/06/03","312659"
"23","","Magnolia Way",150.00,"2001/06/03","312660"
"27","90398","Robson Street",1491.45,"2001/06/03","312661"
"27","97627","Robson Street",360.00,"2001/06/03","312662"
"27","463451","Robson Street",460.00,"2001/06/03","312663"
"23","","Magnolia Way",420.00,"2001/06/03","312664"
"23","329169","Magnolia Way",410.00,"2001/06/03","312665"
"27","994403","Robson Street",70.00,"2001/06/03","312666"
"22","","Eighth Avenue",230.00,"2001/06/03","312667"
"22","113236","Eighth Avenue",140.00,"2001/06/03","312668"
"27","359310","Robson Street",1712.73,"2001/06/03","312669"
"28","","Lamar Boulevard",390.00,"2001/06/03","312670"
"27","559491","Robson Street",4966.62,"2001/06/03","312671"
"16","","Oak Street",130.00,"2001/06/03","312672"
"22","501657","Eighth Avenue",272.38,"2001/06/03","312673"
"22","97627","Eighth Avenue",6303.59,"2001/06/03","312674"
"23","250402","Magnolia Way",3230.62,"2001/06/03","312675"
"27","938010","Robson Street",390.00,"2001/06/03","312676"
"23","","Magnolia Way",240.00,"2001/06/03","312677"
"16","","Oak Street",350.00,"2001/06/03","312678"
"21","869033","Congress Street",7610.11,"2001/06/03","312679"
"27","301037","Robson Street",440.00,"2001/06/03","312680"
"21","176437","Congress Street",9124.02,"2001/06/03","312681"
"22","820025","Eighth Avenue",6637.48,"2001/06/03","312682"
"27","329169","Robson Street",1646.99,"2001/06/03","312683"
"21","","Congress Street",130.00,"2001/06/03","312684"
"19","","Linden Avenue",280.00,"2001/06/03","312685"
"27","463451","Robson Street",9647.04,"2001/06/03","312686"
"28","815062","Lamar Boulevard",110.00,"2001/06/03","312687"
"22","","Eighth Avenue",9551.83,"2001/06/03","312688"
"22","222006","Eighth Avenue",8239.72,"2001/06/03","312689"
"23","820025","Magnolia Way",3406.32,"2001/06/03","312690"
"27","914508","Robson Street",200.00,"2001/06/03","312691"
"23","","Magnolia Way",2430.77,"2001/06/03","312692"
"22","815062","Eighth Avenue",420.00,"2001/06/03","312693"
"27","739622","Robson Street",30.00,"2001/06/03","312694"
"28","","Lamar Boulevard",556.19,"2001/06/03","312695"
"16","202028","Oak Street",40.00,"2001/06/03","312696"
"22","878035","Eighth Avenue",220.00,"2001/06/03","312697"
"27","297397","Robson Street",50.00,"2001/06/03","312698"
"16","","Oak Street",7274.73,"2001/06/03","312699"
"22","878035","Eighth Avenue",250.00,"2001/06/03","312700"
"19","359310","Linden Avenue",3279.49,"2001/06/03","312701"
"19","","Linden Avenue",3581.40,"2001/06/03","312702"
"23","","Magnolia Way",280.00,"2001/06/03","312703"
"22","301037","Eighth Avenue",80.00,"2001/06/03","312704"
"21","","Congress Street",280.00,"2001/06/03","312705"
"27","","Robson Street",7096.67,"2001/06/03","312706"
"27","81559","Robson Street",5511.69,"2001/06/03","312707"
"19","222006","Linden Avenue",50.00,"2001/06/03","312708"
"21","815062","Congress Street",380.00,"2001/06/03","312709"
"28","463451","Lamar Boulevard",80.00,"2001/06/03","312710"
"16","","Oak Street",2926.30,"2001/06/03","312711"
"23","","Magnolia Way",400.00,"2001/06/03","312712"
"27","562270","Robson Street",480.00,"2001/06/03","312713"
"21","113236","Congress Street",7402.26,"2001/06/03","312714"
"16","564291","Oak Street",310.00,"2001/06/03","312715"
"27","512328","Robson Street",280.00,"2001/06/03","312716"
"19","501657","Linden Avenue",2400.79,"2001/06/03","312717"
"23","250402","Magnolia Way",1495.58,"2001/06/03","312718"
"19","284354","Linden Avenue",7964.67,"2001/06/03","312719"
"27","812465","Robson Street",140.00,"2001/06/03","312720"
"21","739622","Congress Street",8386.18,"2001/06/03","312721"
"28","512328","Lamar Boulevard",2120.57,"2001/06/03","312722"
"23","815062","Magnolia Way",290.00,"2001/06/03","312723"
"22","250402","Eighth Avenue",390.00,"2001/06/03","312724"
"22","329169","Eighth Avenue",40.00,"2001/06/03","312725"
"21","113236","Congress Street",4027.28,"2001/06/03","312726"
"27","","Robson Street",410.00,"2001/06/03","312727"
"23","35189","Magnolia Way",280.00,"2001/06/03","312728"
"23","","Magnolia Way",400.00,"2001/06/03","312729"
"16","","Oak Street",60.00,"2001/06/03","312730"
"27","35189","Robson Street",490.00,"2001/06/03","312731"
"19","222006","Linden Avenue",8164.08,"2001/06/03","312732"
"23","","Magnolia Way",410.00,"2001/06/03","312733"
"22","559491","Eighth Avenue",410.00,"2001/06/03","312734"
"16","","Oak Street",160.00,"2001/06/03","312735"
"22","284354","Eighth Avenue",440.00,"2001/06/03","312736"
"27","501657","Robson Street",2949.32,"2001/06/03","312737"
"22","284354","Eighth Avenue",270.00,"2001/06/03","312738"
"19","","Linden Avenue",8964.59,"2001/06/03","312739"
"22","914508","Eighth Avenue",260.00,"2001/06/03","312740"
"22","269267","Eighth Avenue",280.00,"2001/06/03","312741"
"28","444413","Lamar Boulevard",160.00,"2001/06/03","312742"
"27","","Robson Street",410.00,"2001/06/03","312743"
"27","35189","Robson Street",140.00,"2001/06/03","312744"
"27","269267","Robson Street",6948.78,"2001/06/03","312745"
"27","301037","Robson Street",350.00,"2001/06/03","312746"
"22","512328","Eighth Avenue",150.00,"2001/06/03","312747"
"22","811002","Eighth Avenue",30.00,"2001/06/03","312748"
"27","","Robson Street",4416.98,"2001/06/03","312749"
"23","","Magnolia Way",390.00,"2001/06/03","312750"
"22","444413","Eighth Avenue",60.00,"2001/06/03","312751"
"21","559491","Congress Street",2266.98,"2001/06/03","312752"
"22","513574","Eighth Avenue",330.00,"2001/06/03","312753"
"16","35189","Oak Street",5038.47,"2001/06/03","312754"
"16","","Oak Street",400.00,"2001/06/03","312755"
